internal_index,national_dex,original,web_icelandic,csv_icelandic,source_icelandic,status
1,1,BULBASAUR,Laukeðla,Laukeðla,Laukeðla,ok
2,2,IVYSAUR,Netlungur,Netlungur,Netlungur,ok
3,3,VENUSAUR,Arfagálkn,Arfagálkn,Arfagálkn,ok
4,4,CHARMANDER,Glóðmandra,Glóðmandra,Glóðmandra,ok
5,5,CHARMELEON,Kameldljón,Kameldljón,Kameldljón,ok
6,6,CHARIZARD,Bálormur,Bálormur,Bálormur,ok
7,7,SQUIRTLE,Sprautill,Sprautill,Sprautill,ok
8,8,WARTORTLE,Skjaldborgari,Skjaldborgari,Skjaldborgari,ok
9,9,BLASTOISE,Brynbaka,Brynbaka,Brynbaka,ok
10,10,CATERPIE,Lirfingur,Lirfingur,Lirfingur,ok
11,11,METAPOD,Púpisti,Púpisti,Púpisti,ok
12,12,BUTTERFREE,Frírildi,Frírildi,Frírildi,ok
13,13,WEEDLE,Nálgur,Nálgur,Nálgur,ok
14,14,KAKUNA,Hýðingur,Hýðingur,Hýðingur,ok
15,15,BEEDRILL,Borbý,Borbý,Borbý,ok
16,16,PIDGEY,Dúfutetur,Dúfutetur,Dúfutetur,ok
17,17,PIDGEOTTO,Dúfinn,Dúfinn,Dúfinn,ok
18,18,PIDGEOT,Dúfnastur,Dúfnastur,Dúfnastur,ok
19,19,RATTATA,Rottóttur,Rottóttur,Rottóttur,ok
20,20,RATICATE,Hrotta,Hrotta,Hrotta,ok
21,21,SPEAROW,Spjótrungur,Spjótrungur,Spjótrungur,ok
22,22,FEAROW,Geighegri,Geighegri,Geighegri,ok
23,23,EKANS,Arðan,Arðan,Arðan,ok
24,24,ARBOK,Agnals,Agnals,Agnals,ok
25,25,PIKACHU,Leifturskotta,Leifturskotta,Leifturskotta,ok
26,26,RAICHU,Þrumumús,Þrumumús,Þrumumús,ok
27,27,SANDSHREW,Sandsnjáldur,Sandsnjáldur,Sandsnjáldur,ok
28,28,SANDSLASH,Svöðusandur,Svöðusandur,Svöðusandur,ok
29,29,NIDORAN\sf,Náldur,Náldur,Náldur,ok
30,30,NIDORINA,Nálfrú,Nálfrú,Nálfrú,ok
31,31,NIDOQUEEN,Náldrottning,Náldrottning,Náldrottning,ok
32,32,NIDORAN\sm,Náldur,Náldur,Náldur,ok
33,33,NIDORINO,Nálherra,Nálherra,Nálherra,ok
34,34,NIDOKING,Nálkonungur,Nálkonungur,Nálkonungur,ok
35,35,CLEFAIRY,Bleikálfur,Bleikálfur,Bleikálfur,ok
36,36,CLEFABLE,Bleikgoði,Bleikgoði,Bleikgoði,ok
37,37,VULPIX,Halatófa,Halatófa,Halatófa,ok
38,38,NINETALES,Nírófa,Nírófa,Nírófa,ok
39,39,JIGGLYPUFF,Krúttípútt,Krúttípútt,Krúttípútt,ok
40,40,WIGGLYTUFF,Knúsfús,Knúsfús,Knúsfús,ok
41,41,ZUBAT,Blakildi,Blakildi,Blakildi,ok
42,42,GOLBAT,Skoltblaka,Skoltblaka,Skoltblaka,ok
43,43,ODDISH,Kálhaus,Kálhaus,Kálhaus,ok
44,44,GLOOM,Glúmur,Glúmur,Glúmur,ok
45,45,VILEPLUME,Miðurkolla,Miðurkolla,Miðurkolla,ok
46,46,PARAS,Sníkill,Sníkill,Sníkill,ok
47,47,PARASECT,Gróhýsill,Gróhýsill,Gróhýsill,ok
48,48,VENONAT,Hnoðurliði,Hnoðurliði,Hnoðurliði,ok
49,49,VENOMOTH,Bölfluga,Bölfluga,Bölfluga,ok
50,50,DIGLETT,Graflari,Graflari,Graflari,ok
51,51,DUGTRIO,Graflarar,Graflarar,Graflarar,ok
52,52,MEOWTH,Mjágjarn,Mjágjarn,Mjágjarn,ok
53,53,PERSIAN,Klófessor,Klófessor,Klófessor,ok
54,54,PSYDUCK,Mígrendi,Mígrendi,Mígrendi,ok
55,55,GOLDUCK,Gyllinönd,Gyllinönd,Gyllinönd,ok
56,56,MANKEY,Skapköttur,Skapköttur,Skapköttur,ok
57,57,PRIMEAPE,Skapi,Skapi,Skapi,ok
58,58,GROWLITHE,Blysrakki,Blysrakki,Blysrakki,ok
59,59,ARCANINE,Funhundur,Funhundur,Funhundur,ok
60,60,POLIWAG,Pottgormur,Pottgormur,Pottgormur,ok
61,61,POLIWHIRL,Hringekill,Hringekill,Hringekill,ok
62,62,POLIWRATH,Spíralofsi,Spíralofsi,Spíralofsi,ok
63,63,ABRA,Töfri,Töfri,Töfri,ok
64,64,KADABRA,Kúnstner,Kúnstner,Kúnstner,ok
65,65,ALAKAZAM,Galdursforseti,Galdursforseti,Galdursforseti,ok
66,66,MACHOP,Þrekangi,Þrekangi,Þrekangi,ok
67,67,MACHOKE,Aflgarpur,Aflgarpur,Aflgarpur,ok
68,68,MACHAMP,Fermundur,Fermundur,Fermundur,ok
69,69,BELLSPROUT,Bjallgresi,Bjallgresi,Bjallgresi,ok
70,70,WEEPINBELL,Grátklukka,Grátklukka,Grátklukka,ok
71,71,VICTREEBEL,Meinloka,Meinloka,Meinloka,ok
72,72,TENTACOOL,Holsepi,Holsepi,Holsepi,ok
73,73,TENTACRUEL,Glytnir,Glytnir,Glytnir,ok
74,74,GEODUDE,Aurgaur,Aurgaur,Aurgaur,ok
75,75,GRAVELER,Möldungur,Möldungur,Möldungur,ok
76,76,GOLEM,Bergjöfur,Bergjöfur,Bergjöfur,ok
77,77,PONYTA,Logald,Logald,Logald,ok
78,78,RAPIDASH,Eldklár,Eldklár,Eldklár,ok
79,79,SLOWPOKE,Sljón,Sljón,Sljón,ok
80,80,SLOWBRO,Sljónatan,Sljónatan,Sljónatan,ok
81,81,MAGNEMITE,Segill,Segill,Segill,ok
82,82,MAGNETON,Seglagerði,Seglagerði,Seglagerði,ok
83,83,FARFETCH'D,Andvígur,Andvígur,Andvígur,ok
84,84,DODUO,Parfugl,Parfugl,Parfugl,ok
85,85,DODRIO,Þrítrana,Þrítrana,Þrítrana,ok
86,86,SEEL,Kópangi,Kópangi,Kópangi,ok
87,87,DEWGONG,Snæljón,Snæljón,Snæljón,ok
88,88,GRIMER,Drullupolli,Drullupolli,Drullupolli,ok
89,89,MUK,Forsprakki,Forsprakki,Forsprakki,ok
90,90,SHELLDER,Skelsæll,Skelsæll,Skelsæll,ok
91,91,CLOYSTER,Vígulker,Vígulker,Vígulker,ok
92,92,GASTLY,Hrollur,Hrollur,Hrollur,ok
93,93,HAUNTER,Reimnir,Reimnir,Reimnir,ok
94,94,GENGAR,Vofursti,Vofursti,Vofursti,ok
95,95,ONIX,Gránamaðkur,Gránamaðkur,Gránamaðkur,ok
96,96,DROWZEE,Dávi,Dávi,Dávi,ok
97,97,HYPNO,Leiðslari,Leiðslari,Leiðslari,ok
98,98,KRABBY,Krabbakútur,Krabbakútur,Krabbakútur,ok
99,99,KINGLER,Krabbarbari,Krabbarbari,Krabbarbari,ok
100,100,VOLTORB,Stuðbolti,Stuðbolti,Stuðbolti,ok
101,101,ELECTRODE,Straumhnöttur,Straumhnöttur,Straumhnöttur,ok
102,102,EXEGGCUTE,Seggaldin,Seggaldin,Seggaldin,ok
103,103,EXEGGUTOR,Tálmatré,Tálmatré,Tálmatré,ok
104,104,CUBONE,Beinfari,Beinfari,Beinfari,ok
105,105,MAROWAK,Hnauskúpa,Hnauskúpa,Hnauskúpa,ok
106,106,HITMONLEE,Spyrnir,Spyrnir,Spyrnir,ok
107,107,HITMONCHAN,Hnefla,Hnefla,Hnefla,ok
108,108,LICKITUNG,Sleikjógn,Sleikjógn,Sleikjógn,ok
109,109,KOFFING,Kígildi,Kígildi,Kígildi,ok
110,110,WEEZING,Pústaskrápur,Pústaskrápur,Pústaskrápur,ok
111,111,RHYHORN,Horngrýti,Horngrýti,Horngrýti,ok
112,112,RHYDON,Steinhyrningur,Steinhyrningur,Steinhyrningur,ok
113,113,CHANSEY,Sælegg,Sælegg,Sælegg,ok
114,114,TANGELA,Fléttungur,Fléttungur,Fléttungur,ok
115,115,KANGASKHAN,Kengúrill,Kengúrill,Kengúrill,ok
116,116,HORSEA,Skolald,Skolald,Skolald,ok
117,117,SEADRA,Sjáfnir,Sjáfnir,Sjáfnir,ok
118,118,GOLDEEN,Bleikhyrna,Bleikhyrna,Bleikhyrna,ok
119,119,SEAKING,Fiskikóngur,Fiskikóngur,Fiskikóngur,ok
120,120,STARYU,Stirnir,Stirnir,Stirnir,ok
121,121,STARMIE,Stirningur,Stirningur,Stirningur,ok
122,122,MR. MIME,Hermiherra,Hermiherra,Hermiherra,ok
123,123,SCYTHER,Ljáspretta,Ljáspretta,Ljáspretta,ok
124,124,JYNX,Tálgrýla,Tálgrýla,Tálgrýla,ok
125,125,ELECTABUZZ,Spenndýr,Spenndýr,Spenndýr,ok
126,126,MAGMAR,Kvikyndi,Kvikyndi,Kvikyndi,ok
127,127,PINSIR,Hrellibjalla,Hrellibjalla,Hrellibjalla,ok
128,128,TAUROS,Stórþjór,Stórþjór,Stórþjór,ok
129,129,MAGIKARP,Greysleppa,Greysleppa,Greysleppa,ok
130,130,GYARADOS,Brimskratti,Brimskratti,Brimskratti,ok
131,131,LAPRAS,Lagargandur,Lagargandur,Lagargandur,ok
132,132,DITTO,Gervill,Gervill,Gervill,ok
133,133,EEVEE,Sniðdýr,Sniðdýr,Sniðdýr,ok
134,134,VAPOREON,Marbúi,Marbúi,Marbúi,ok
135,135,JOLTEON,Rafbúi,Rafbúi,Rafbúi,ok
136,136,FLAREON,Glóðbúi,Glóðbúi,Glóðbúi,ok
137,137,PORYGON,Grafíkja,Grafíkja,Grafíkja,ok
138,138,OMANYTE,Kuðungi,Kuðungi,Kuðungi,ok
139,139,OMASTAR,Holkrabbi,Holkrabbi,Holkrabbi,ok
140,140,KABUTO,Botnseti,Botnseti,Botnseti,ok
141,141,KABUTOPS,Djúpsaxi,Djúpsaxi,Djúpsaxi,ok
142,142,AERODACTYL,Himinvá,Himinvá,Himinvá,ok
143,143,SNORLAX,Hrotþurs,Hrotþurs,Hrotþurs,ok
144,144,ARTICUNO,Éljaskarfur,Éljaskarfur,Éljaskarfur,ok
145,145,ZAPDOS,Þórshani,Þórshani,Þórshani,ok
146,146,MOLTRES,Blossagaukur,Blossagaukur,Blossagaukur,ok
147,147,DRATINI,Dreksprek,Dreksprek,Dreksprek,ok
148,148,DRAGONAIR,Grandormur,Grandormur,Grandormur,ok
149,149,DRAGONITE,Drekvaxinn,Drekvaxinn,Drekvaxinn,ok
150,150,MEWTWO,Tvímýta,Tvímýta,Tvímýta,ok
151,151,MEW,Mýta,Mýta,Mýta,ok
152,152,CHIKORITA,Bleðill,Bleðill,Bleðill,ok
153,153,BAYLEEF,Þistilgumi,Þistilgumi,Þistilgumi,ok
154,154,MEGANIUM,Laufjöfur,Laufjöfur,Laufjöfur,ok
155,155,CYNDAQUIL,Brímir,Brímir,Brímir,ok
156,156,QUILAVA,Gosi,Gosi,Gosi,ok
157,157,TYPHLOSION,Bálhamur,Bálhamur,Bálhamur,ok
158,158,TOTODILE,Smádíll,Smádíll,Smádíll,ok
159,159,CROCONAW,Krókald,Krókald,Krókald,ok
160,160,FERALIGATR,Skolthrotti,Skolthrotti,Skolthrotti,ok
161,161,SENTRET,Skottspott,Skottspott,Skottspott,ok
162,162,FURRET,Randahnoðri,Randahnoðri,Randahnoðri,ok
163,163,HOOTHOOT,Taktseti,Taktseti,Taktseti,ok
164,164,NOCTOWL,Náttygla,Náttygla,Náttygla,ok
165,165,LEDYBA,Bjallveig,Bjallveig,Bjallveig,ok
166,166,LEDIAN,Maríuhetja,Maríuhetja,Maríuhetja,ok
167,167,SPINARAK,Spindill,Spindill,Spindill,ok
168,168,ARIADOS,Vefari,Vefari,Vefari,ok
169,169,CROBAT,Spellblaka,Spellblaka,Spellblaka,ok
170,170,CHINCHOU,Glótutla,Glótutla,Glótutla,ok
171,171,LANTURN,Lýsa,Lýsa,Lýsa,ok
172,172,PICHU,Stuðstúfa,Stuðstúfa,Stuðstúfa,ok
173,173,CLEFFA,Bleiklyndur,Bleiklyndur,Bleiklyndur,ok
174,174,IGGLYBUFF,Ogguponsa,Ogguponsa,Ogguponsa,ok
175,175,TOGEPI,Eggla,Eggla,Eggla,ok
176,176,TOGETIC,Klakvængja,Klakvængja,Klakvængja,ok
177,177,NATU,Spáfugl,Spáfugl,Spáfugl,ok
178,178,XATU,Hyglfygli,Hyglfygli,Hyglfygli,ok
179,179,MAREEP,Skærgemsi,Skærgemsi,Skærgemsi,ok
180,180,FLAAFFY,Hnykilvægur,Hnykilvægur,Hnykilvægur,ok
181,181,AMPHAROS,Standlambi,Standlambi,Standlambi,ok
182,182,BELLOSSOM,Faldlilja,Faldlilja,Faldlilja,ok
183,183,MARILL,Daggarögn,Daggarögn,Daggarögn,ok
184,184,AZUMARILL,Úðingur,Úðingur,Úðingur,ok
185,185,SUDOWOODO,Gervitré,Gervitré,Gervitré,ok
186,186,POLITOED,Gormkarta,Gormkarta,Gormkarta,ok
187,187,HOPPIP,Hoppurt,Hoppurt,Hoppurt,ok
188,188,SKIPLOOM,Skoppklukka,Skoppklukka,Skoppklukka,ok
189,189,JUMPLUFF,Hviðukolla,Hviðukolla,Hviðukolla,ok
190,190,AIPOM,Halamundur,Halamundur,Halamundur,ok
191,191,SUNKERN,Sólkarn,Sólkarn,Sólkarn,ok
192,192,SUNFLORA,Sumarbrá,Sumarbrá,Sumarbrá,ok
